,text_,label,target
0,Delicious and soothing!,CG,1
1,"Not worth it, only a few extra balls for the price. Save your money and find a better deal elsewhere.",CG,1
2,"Easy to install, provides great shade, and looks stylish on my patio. Very happy with this purchase!",CG,1
3,Absolutely love my new American flag! The colors are vibrant and the quality is exceptional. Perfect size for my yard and the brass grommets are a nice touch. Highly recommend!,CG,1
4,"The Besgoods micro USB cables seemed promising with their vibrant colors and long length, but the quality didn't hold up. Within a few weeks, the cables started fraying and malfunctioning. Disappointed with the durability.",CG,1
5,"Does the job, but could be sturdier",CG,1
6,"Unfortunately, my dog lost interest in this toy after just a few minutes.",CG,1
7,Great for detail work,CG,1
8,"Sturdy design, perfect fit. Excellent quality!",CG,1
9,"After using various rollerball pens, I finally settled on this LAMY Swift. The retractable clip is a game-changer for comfort. Smooth ink flow and classy design make it my go-to pen for work.",CG,1
10,"My dog absolutely adores Nature's Recipe Grain Free Dry Dog Food Chicken! The real chicken as the main ingredient makes it irresistible to him. The sweet potato and pumpkin are great sources of energy, and being grain-free, it's easy on his digestion. I love that it's nutritionally balanced and affordable. Highly recommended for dog owners looking for a healthy option for their furry friends.",CG,1
11,"The Puppia Dog Harness fell apart after minimal use. Not worth the price tag, poor quality. Disappointing purchase.",CG,1
12,Amazing product!,CG,1
13,"These Petacc dog shoes are a game-changer! My Husky took to them instantly. They're comfy and sturdy. Great for walks on snowy days. They keep his paws warm and protected, but not waterproof. Like little sneakers for dogs. Highly recommend!",CG,1
14,"It's a decent organic tea, but I prefer the flavor of other brands. Price is fair.",CG,1
15,Amazing quilting ruler! Makes cutting precise shapes a breeze.,CG,1
16,not worth it,CG,1
17,The Classic Nutri-Berries for Parakeets are a hit with my feathered friend! The unique shape and aroma make it a delightful treat or meal. My parakeet loves the taste and benefits from the essential nutrients packed in every bite. It's a must-have for bird owners looking to provide a balanced diet. Highly recommended!,CG,1
18,Impressed!,CG,1
19,"The variety in this Snickers box is fantastic! Having the classic, almond, and hazelnut options is a treat for the taste buds. The almond bar was a delightful surprise, but the hazelnut didn't quite hit the mark for me. Still, a great package for candy lovers everywhere!",CG,1
20,Loads of fun!,CG,1
21,Fantastic ink quality!,CG,1
22,My dog absolutely loves the Benebone chew toy! It has stood the test of time against her relentless chewing. The real flavor keeps her entertained for hours without any signs of wear or tear. I appreciate the USA-made quality and the safety precautions highlighted in the product description. Definitely worth every penny!,CG,1
23,My pomeranian looks adorable in this vest! It kept him warm during our chilly walks. The D-Rings are handy for his leash. The only downside is the button came loose after a few uses.,CG,1
24,Highly recommended!,CG,1
25,"These D'Addario strings are a game-changer! The bright tone is exceptional, and they feel amazing to play. Highly recommended!",CG,1
26,Tastes great!,CG,1
27,Average dancing fun,CG,1
28,"This Clover MCI-900 Mini Iron is a game-changer! It's perfect for small projects and applique work. The temperature control is convenient, and the iron heats up quickly. A must-have for any crafter!",CG,1
29,"Perfect pet nail clippers, stress-free and precise!",CG,1
30,"The Better Office Products 81450 Sheet Protectors are decent for the price. They do the job of organizing my papers, but they feel a bit flimsy. The top-loading feature is convenient, but they can be a bit sticky.",CG,1
31,Perfect fit!,CG,1
32,Highly effective and affordable treatment,CG,1
33,"I was highly disappointed with the Hartz Dura Play Bacon Scented Dog Toy. The enticing bacon scent is the only thing my furry friend enjoyed before it quickly turned into a disaster. The foam technology promised durability, but my dog managed to destroy it within minutes. The material is too soft, resembling something fit for a baby rather than a chewing canine. One tiny puncture and the squeaking stopped, leaving us with a deflated and unamusing toy. Definitely not worth the investment; my dog lost interest in record time. One star for the bacon scent only.",CG,1
34,"My fur baby was constantly scratching and had a dull coat. After adding The Missing Link superfood supplement to his meals, the transformation was incredible! His coat is now shiny, and the itching has significantly reduced. I mix it with water, and he gobbles it up. Definitely worth every penny!",CG,1
35,"I cannot praise this waterer enough! My pet's constant water spills were driving me crazy until I stumbled upon this amazing product. The design is genius, with the Microban protection ensuring a clean and odor-free bowl. The 1/2 gallon size is perfect for my furry friend and requires fewer refills, saving me time and effort. The charcoal filter keeps the water fresh for days, and my pet loves it! The best part? It's so easy to clean and refill, making my life a lot simpler. Definitely worth every penny, highly recommend it!",CG,1
36,"Easy to clean, perfect size!",CG,1
37,"The Dazzling Displays Acrylic Sign Holders looked promising online, but upon arrival, I was disappointed. The acrylic material felt cheap and the frames were flimsy. One of the holders arrived cracked, which was disappointing. I expected better quality for the price. Will be seeking a sturdier alternative in the future.",CG,1
38,"Awesome quality leash! Perfect for training, durable and reliable. Highly recommend for pet owners.",CG,1
39,Incredibly comfortable chair!,CG,1
40,"Absolutely obsessed with these Heinz Baked Beans! I mean, who knew beans could be this irresistible? The tomato sauce is just so rich and flavorful, it's like a burst of goodness in every bite. I've stocked up with the 12-pack, and honestly, I might need more soon. They're my go-to comfort food now, especially on those hectic days. I appreciate the filling nature of these beans; they keep me satisfied for hours. Worth every penny!",CG,1
41,Disappointing. My dog refused to even sniff these chews. They're too big and the taste must be off. Won't be repurchasing.,CG,1
42,Smooth and satisfying decaf blend!,CG,1
43,High quality and durable,CG,1
44,Impressive quality!,CG,1
45,"I am thrilled with my purchase of this crochet hooks kit from Athena's Elements! The ergonomic handles provide extreme comfort, making it a joy to work on my projects for hours. The case is beautiful and keeps everything organized. The accessories are complete and high quality. This set exceeded my expectations, and I highly recommend it to fellow crocheters. A 5-star product all the way!",CG,1
46,"I recently tried out the Wisdom Panel 3.0 Breed Identification Dog DNA Test Kit for my furry friend, and I must say I am beyond impressed! My dog, who we believed to be a simple mix of breeds, turned out to have such a fascinating genetic background that left us in awe. The process of collecting the DNA samples was incredibly easy with the two swabs provided, and the results were delivered to us promptly within 2-3 weeks. The detailed genetic ancestry report provided insights into my dog's lineage, going as far back as their grandparents, which was truly fascinating. Not only did we discover the main breeds that make up our dog's appearance, but we also uncovered some surprising and rare breeds that we would have never guessed. The accuracy of the test was remarkable, revealing breeds that perfectly explained some of our dog's unique physical features. I appreciated the transparency about the database being built on pure breeds from reputable kennel clubs, ensuring reliable results. This test is not only informative but also a lot of fun for any pet owner curious about their dog's heritage. I highly recommend the Wisdom Panel 3.0 for anyone looking to unravel the genetic mysteries behind their beloved four-legged companion. Truly a worthwhile investment in understanding and celebrating your pet's diverse background!",CG,1
47,"I absolutely love my DayMinder planner! The vertical columns for each day help me stay organized down to the hour. The quality is impressive, and the recycled paper is a bonus. The cover feels luxurious in Burgundy. My only wish? An extra section for notes!",CG,1
48,"I recently purchased a delightful box of Enstrom Milk Chocolate Almond Toffee, and it was a hit with my family! The perfect balance of chocolate and almonds encapsulated in a crunchy toffee. The only downside is that the pieces were a bit thicker than expected. Despite that, we still can't resist having a few every evening. Definitely recommend this sweet treat!",CG,1
49,"I recently purchased the Blueberry Pet Classic Solid Color Adjustable Dog Harness for my furry friend, and I couldn't be happier with my choice. The vibrant color options are stunning, and the quality is top-notch. The harness is adjustable, fitting my dog perfectly with room to grow. It's durable and well-made, ensuring it will last a long time. Highly recommend this product!",CG,1
50,My turtles adore this food! Great buy!,CG,1
51,Great wireless printer for home office use,CG,1
52,"A kitchen staple! This sauce elevates my dishes with a rich color and delicious flavor. It's versatile - great in gravies, soups, and stews. Remember, a little goes a long way to avoid overpowering your meal. Highly recommend!",CG,1
