,text,label,target
80000,"I had a delightful dining experience at this charming restaurant. The ambiance was cozy and inviting, perfect for a casual meal or a special occasion. The staff was attentive and friendly, making sure we were well taken care of throughout our visit. The menu offered a good variety of options, and the food was delicious. I particularly enjoyed the flavorful dishes and the presentation was top-notch. The desserts were a delightful end to the meal, leaving us satisfied and happy. Overall, I would highly recommend this restaurant for a memorable dining experience. 4 stars.",CG,1
80001,"The restaurant had a cozy ambiance and friendly staff, but the food was average. I expected more flavor and creativity in the dishes. The service was prompt, but the overall experience was lacking excitement. The prices were reasonable for the portion sizes. In conclusion, it's a decent place for a quick meal, but not memorable enough for a return visit.",CG,1
80002,"I recently visited this restaurant and I must say it was a delightful experience! The food was delicious, the ambiance was cozy, and the service was exceptional. I would highly recommend this place to anyone looking for a great dining experience. 5 stars all the way!",CG,1
80003,"The restaurant had good ambience and friendly staff, but the food quality was below expectations. The menu options were limited and the prices were high for the portion sizes. Overall, a disappointing experience with room for improvement.",CG,1
80004,"I recently visited this restaurant and had a wonderful experience. The ambiance was cozy and welcoming, perfect for a relaxing evening out. The service was top-notch, attentive and friendly without being overbearing. The menu offered a variety of delicious options, from appetizers to desserts. I particularly enjoyed the seafood pasta, which was flavorful and cooked to perfection. The presentation of the dishes was also impressive, adding to the overall dining experience. The pricing was reasonable considering the quality of food and service. Overall, I would highly recommend this restaurant for anyone looking for a delightful dining experience. I would give it 4 stars!",CG,1
80005,Amazing food and service! The ambiance was perfect and the staff was friendly. A must-visit restaurant for a top-notch experience. 5 stars!,CG,1
80006,"Absolutely amazing experience! The food was divine, service impeccable, and ambiance delightful. 5 stars all the way!",CG,1
80007,"I recently visited this restaurant and had an incredible experience. The food was absolutely delicious, the service was impeccable, and the ambiance was perfect. I would highly recommend this place to anyone looking for a delightful dining experience. The staff was friendly, the menu had a great variety of options, and the presentation of the dishes was exquisite. Overall, I give this restaurant a well-deserved 5-star rating. Can't wait to go back and try more of their dishes!",CG,1
80008,"The restaurant had a nice ambiance and the service was decent. However, the food was disappointing. It lacked flavor and the portion sizes were small for the price. The menu selection was limited and the dishes we ordered did not meet our expectations. The staff was friendly but seemed overwhelmed and the wait time for our food was longer than expected. Overall, our experience was just average. We would not likely return to this restaurant.",CG,1
80009,"Excellent food, great service, and cozy atmosphere. Definitely a 5-star experience! The dishes were delicious and the staff was attentive. Will be returning soon!",CG,1
80010,"I had an amazing experience at this restaurant! The food was delicious, the service was impeccable, and the ambiance was perfect. I would highly recommend this place to anyone looking for a great dining experience. The staff was friendly and attentive, and the dishes were beautifully presented. I give this restaurant 5 stars for the excellent quality of food and service. Can't wait to come back again!",CG,1
80011,"I recently visited this restaurant and I must say it exceeded all my expectations. From the moment I walked in, I was greeted warmly by the staff and seated promptly. The ambiance was charming and cozy, creating the perfect atmosphere for a delightful dining experience.

The menu offered a wide variety of delicious options, making it difficult for me to choose just one dish. I finally settled on the chef's special and it did not disappoint. The flavors were exceptional and the presentation was impeccable.

The service was top-notch throughout the meal. The servers were attentive and knowledgeable, making sure that every aspect of our dining experience was perfect. It's rare to find such exceptional service these days, and it truly made our evening memorable.

Overall, I would highly recommend this restaurant to anyone looking for a five-star dining experience. The food, service, and ambiance all exceeded my expectations and I can't wait to visit again. This restaurant truly deserves a rating of 5 stars.",CG,1
80012,"Fantastic experience! The food was exceptional, service was top-notch. Definitely a must-visit restaurant.",CG,1
80013,"The restaurant had a nice ambiance and friendly staff. However, the food was mediocre and overpriced. The menu lacked variety and the portions were small. Overall, a disappointing experience. Would not recommend. 2 stars.",CG,1
80014,"The food at this restaurant was decent, but nothing special. The service was average. Overall, a satisfactory experience. 3/5 stars.",CG,1
80015,"The dining experience at this restaurant was disappointing. The food was mediocre and the service was slow. The ambiance was okay but nothing special. Overall, I would not recommend this place. However, the prices were reasonable for the portion sizes. This restaurant has potential but needs improvement in quality and customer service. I would rate it 2 stars out of 5.",CG,1
